,dteday,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category,day_name,cat_weeks
15,2011-01-01,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110.0,Day,Saturday,Weekend
16,2011-01-01,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93.0,Day,Saturday,Weekend
17,2011-01-01,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67.0,Day,Saturday,Weekend
18,2011-01-01,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35.0,Afternoon,Saturday,Weekend
19,2011-01-01,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37.0,Afternoon,Saturday,Weekend
20,2011-01-01,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36.0,Afternoon,Saturday,Weekend
21,2011-01-01,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34.0,Afternoon,Saturday,Weekend
22,2011-01-01,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28.0,Afternoon,Saturday,Weekend
23,2011-01-01,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39.0,Afternoon,Saturday,Weekend
24,2011-01-02,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17.0,Night,Sunday,Weekend
25,2011-01-02,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17.0,Night,Sunday,Weekend
26,2011-01-02,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9.0,Night,Sunday,Weekend
27,2011-01-02,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6.0,Night,Sunday,Weekend
28,2011-01-02,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3.0,Night,Sunday,Weekend
29,2011-01-02,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2.0,Morning,Sunday,Weekend
30,2011-01-02,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1.0,Morning,Sunday,Weekend
31,2011-01-02,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8.0,Morning,Sunday,Weekend
32,2011-01-02,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20.0,Morning,Sunday,Weekend
33,2011-01-02,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53.0,Morning,Sunday,Weekend
34,2011-01-02,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70.0,Morning,Sunday,Weekend
35,2011-01-02,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93.0,Day,Sunday,Weekend
36,2011-01-02,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75.0,Day,Sunday,Weekend
37,2011-01-02,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59.0,Day,Sunday,Weekend
38,2011-01-02,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74.0,Day,Sunday,Weekend
39,2011-01-02,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76.0,Day,Sunday,Weekend
40,2011-01-02,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65.0,Day,Sunday,Weekend
41,2011-01-02,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53.0,Afternoon,Sunday,Weekend
42,2011-01-02,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30.0,Afternoon,Sunday,Weekend
43,2011-01-02,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22.0,Afternoon,Sunday,Weekend
44,2011-01-02,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31.0,Afternoon,Sunday,Weekend
45,2011-01-02,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9.0,Afternoon,Sunday,Weekend
46,2011-01-02,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8.0,Afternoon,Sunday,Weekend
47,2011-01-03,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5.0,Night,Monday,Workday
48,2011-01-03,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2.0,Night,Monday,Workday
49,2011-01-03,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1.0,Night,Monday,Workday
50,2011-01-03,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3.0,Night,Monday,Workday
51,2011-01-03,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30.0,Morning,Monday,Workday
52,2011-01-03,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64.0,Morning,Monday,Workday
53,2011-01-03,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154.0,Morning,Monday,Workday
54,2011-01-03,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88.0,Morning,Monday,Workday
55,2011-01-03,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44.0,Morning,Monday,Workday
56,2011-01-03,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51.0,Morning,Monday,Workday
57,2011-01-03,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61.0,Day,Monday,Workday
58,2011-01-03,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61.0,Day,Monday,Workday
59,2011-01-03,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77.0,Day,Monday,Workday
60,2011-01-03,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72.0,Day,Monday,Workday
61,2011-01-03,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76.0,Day,Monday,Workday
62,2011-01-03,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157.0,Day,Monday,Workday
63,2011-01-03,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157.0,Afternoon,Monday,Workday
64,2011-01-03,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110.0,Afternoon,Monday,Workday
65,2011-01-03,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52.0,Afternoon,Monday,Workday
66,2011-01-03,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52.0,Afternoon,Monday,Workday
67,2011-01-03,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20.0,Afternoon,Monday,Workday
68,2011-01-03,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12.0,Afternoon,Monday,Workday
69,2011-01-04,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5.0,Night,Tuesday,Workday
70,2011-01-04,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2.0,Night,Tuesday,Workday
71,2011-01-04,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1.0,Night,Tuesday,Workday
72,2011-01-04,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2.0,Night,Tuesday,Workday
73,2011-01-04,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4.0,Night,Tuesday,Workday
74,2011-01-04,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36.0,Morning,Tuesday,Workday
75,2011-01-04,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94.0,Morning,Tuesday,Workday
76,2011-01-04,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179.0,Morning,Tuesday,Workday
77,2011-01-04,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100.0,Morning,Tuesday,Workday
78,2011-01-04,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42.0,Morning,Tuesday,Workday
79,2011-01-04,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57.0,Morning,Tuesday,Workday
80,2011-01-04,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78.0,Day,Tuesday,Workday
81,2011-01-04,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97.0,Day,Tuesday,Workday
82,2011-01-04,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63.0,Day,Tuesday,Workday
83,2011-01-04,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65.0,Day,Tuesday,Workday
84,2011-01-04,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83.0,Day,Tuesday,Workday
85,2011-01-04,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212.0,Day,Tuesday,Workday
86,2011-01-04,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182.0,Afternoon,Tuesday,Workday
87,2011-01-04,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112.0,Afternoon,Tuesday,Workday
88,2011-01-04,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54.0,Afternoon,Tuesday,Workday
89,2011-01-04,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48.0,Afternoon,Tuesday,Workday
90,2011-01-04,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35.0,Afternoon,Tuesday,Workday
91,2011-01-04,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11.0,Afternoon,Tuesday,Workday
92,2011-01-05,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6.0,Night,Wednesday,Workday
93,2011-01-05,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6.0,Night,Wednesday,Workday
94,2011-01-05,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2.0,Night,Wednesday,Workday
95,2011-01-05,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2.0,Night,Wednesday,Workday
96,2011-01-05,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3.0,Night,Wednesday,Workday
97,2011-01-05,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33.0,Morning,Wednesday,Workday
98,2011-01-05,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88.0,Morning,Wednesday,Workday
99,2011-01-05,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195.0,Morning,Wednesday,Workday
100,2011-01-05,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115.0,Morning,Wednesday,Workday
101,2011-01-05,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57.0,Morning,Wednesday,Workday
102,2011-01-05,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46.0,Morning,Wednesday,Workday
103,2011-01-05,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79.0,Day,Wednesday,Workday
104,2011-01-05,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71.0,Day,Wednesday,Workday
105,2011-01-05,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62.0,Day,Wednesday,Workday
106,2011-01-05,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62.0,Day,Wednesday,Workday
107,2011-01-05,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89.0,Day,Wednesday,Workday
108,2011-01-05,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190.0,Day,Wednesday,Workday
109,2011-01-05,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169.0,Afternoon,Wednesday,Workday
110,2011-01-05,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132.0,Afternoon,Wednesday,Workday
111,2011-01-05,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89.0,Afternoon,Wednesday,Workday
112,2011-01-05,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43.0,Afternoon,Wednesday,Workday
113,2011-01-05,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42.0,Afternoon,Wednesday,Workday
114,2011-01-05,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19.0,Afternoon,Wednesday,Workday
115,2011-01-06,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11.0,Night,Thursday,Workday
116,2011-01-06,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4.0,Night,Thursday,Workday
117,2011-01-06,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2.0,Night,Thursday,Workday
118,2011-01-06,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1.0,Night,Thursday,Workday
119,2011-01-06,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4.0,Night,Thursday,Workday
120,2011-01-06,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36.0,Morning,Thursday,Workday
121,2011-01-06,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95.0,Morning,Thursday,Workday
122,2011-01-06,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219.0,Morning,Thursday,Workday
123,2011-01-06,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122.0,Morning,Thursday,Workday
124,2011-01-06,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45.0,Morning,Thursday,Workday
125,2011-01-06,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59.0,Morning,Thursday,Workday
126,2011-01-06,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84.0,Day,Thursday,Workday
127,2011-01-06,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67.0,Day,Thursday,Workday
128,2011-01-06,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70.0,Day,Thursday,Workday
129,2011-01-06,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62.0,Day,Thursday,Workday
130,2011-01-06,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86.0,Day,Thursday,Workday
131,2011-01-06,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172.0,Day,Thursday,Workday
132,2011-01-06,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163.0,Afternoon,Thursday,Workday
133,2011-01-06,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112.0,Afternoon,Thursday,Workday
134,2011-01-06,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69.0,Afternoon,Thursday,Workday
135,2011-01-06,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48.0,Afternoon,Thursday,Workday
136,2011-01-06,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52.0,Afternoon,Thursday,Workday
137,2011-01-06,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23.0,Afternoon,Thursday,Workday
138,2011-01-07,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17.0,Night,Friday,Workday
139,2011-01-07,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7.0,Night,Friday,Workday
140,2011-01-07,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1.0,Night,Friday,Workday
141,2011-01-07,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1.0,Night,Friday,Workday
142,2011-01-07,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5.0,Night,Friday,Workday
143,2011-01-07,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34.0,Morning,Friday,Workday
144,2011-01-07,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84.0,Morning,Friday,Workday
145,2011-01-07,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210.0,Morning,Friday,Workday
146,2011-01-07,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134.0,Morning,Friday,Workday
147,2011-01-07,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63.0,Morning,Friday,Workday
148,2011-01-07,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67.0,Morning,Friday,Workday
149,2011-01-07,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59.0,Day,Friday,Workday
150,2011-01-07,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73.0,Day,Friday,Workday
151,2011-01-07,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50.0,Day,Friday,Workday
152,2011-01-07,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72.0,Day,Friday,Workday
153,2011-01-07,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87.0,Day,Friday,Workday
154,2011-01-07,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187.0,Day,Friday,Workday
155,2011-01-07,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123.0,Afternoon,Friday,Workday
156,2011-01-07,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95.0,Afternoon,Friday,Workday
157,2011-01-07,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51.0,Afternoon,Friday,Workday
158,2011-01-07,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39.0,Afternoon,Friday,Workday
159,2011-01-07,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36.0,Afternoon,Friday,Workday
160,2011-01-07,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15.0,Afternoon,Friday,Workday
161,2011-01-08,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25.0,Night,Saturday,Weekend
162,2011-01-08,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16.0,Night,Saturday,Weekend
163,2011-01-08,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16.0,Night,Saturday,Weekend
164,2011-01-08,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7.0,Night,Saturday,Weekend
165,2011-01-08,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1.0,Night,Saturday,Weekend
166,2011-01-08,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5.0,Night,Saturday,Weekend
167,2011-01-08,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2.0,Morning,Saturday,Weekend
168,2011-01-08,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9.0,Morning,Saturday,Weekend
169,2011-01-08,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15.0,Morning,Saturday,Weekend
170,2011-01-08,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20.0,Morning,Saturday,Weekend
171,2011-01-08,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61.0,Morning,Saturday,Weekend
172,2011-01-08,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62.0,Morning,Saturday,Weekend
173,2011-01-08,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98.0,Day,Saturday,Weekend
174,2011-01-08,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102.0,Day,Saturday,Weekend
175,2011-01-08,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4775,12,83,95.0,Day,Saturday,Weekend
176,2011-01-08,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74.0,Day,Saturday,Weekend
177,2011-01-08,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76.0,Day,Saturday,Weekend
178,2011-01-08,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.4775,5,64,69.0,Day,Saturday,Weekend
179,2011-01-08,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55.0,Afternoon,Saturday,Weekend
180,2011-01-08,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30.0,Afternoon,Saturday,Weekend
181,2011-01-08,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28.0,Afternoon,Saturday,Weekend
182,2011-01-08,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37.0,Afternoon,Saturday,Weekend
183,2011-01-08,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34.0,Afternoon,Saturday,Weekend
184,2011-01-08,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22.0,Afternoon,Saturday,Weekend
185,2011-01-09,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25.0,Night,Sunday,Weekend
186,2011-01-09,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12.0,Night,Sunday,Weekend
187,2011-01-09,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11.0,Night,Sunday,Weekend
188,2011-01-09,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4.0,Night,Sunday,Weekend
189,2011-01-09,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1.0,Night,Sunday,Weekend
190,2011-01-09,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1.0,Night,Sunday,Weekend
191,2011-01-09,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1.0,Morning,Sunday,Weekend
192,2011-01-09,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6.0,Morning,Sunday,Weekend
193,2011-01-09,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10.0,Morning,Sunday,Weekend
194,2011-01-09,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.4775,0,19,19.0,Morning,Sunday,Weekend
195,2011-01-09,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49.0,Morning,Sunday,Weekend
196,2011-01-09,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.4775,2,47,49.0,Morning,Sunday,Weekend
197,2011-01-09,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83.0,Day,Sunday,Weekend
198,2011-01-09,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75.0,Day,Sunday,Weekend
199,2011-01-09,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72.0,Day,Sunday,Weekend
200,2011-01-09,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82.0,Day,Sunday,Weekend
201,2011-01-09,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92.0,Day,Sunday,Weekend
202,2011-01-09,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62.0,Day,Sunday,Weekend
203,2011-01-09,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48.0,Afternoon,Sunday,Weekend
204,2011-01-09,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41.0,Afternoon,Sunday,Weekend
205,2011-01-09,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38.0,Afternoon,Sunday,Weekend
206,2011-01-09,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20.0,Afternoon,Sunday,Weekend
207,2011-01-09,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15.0,Afternoon,Sunday,Weekend
208,2011-01-09,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6.0,Afternoon,Sunday,Weekend
209,2011-01-10,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5.0,Night,Monday,Workday
210,2011-01-10,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1.0,Night,Monday,Workday
211,2011-01-10,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3.0,Night,Monday,Workday
212,2011-01-10,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1.0,Night,Monday,Workday
213,2011-01-10,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3.0,Night,Monday,Workday
214,2011-01-10,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3.0,Night,Monday,Workday
215,2011-01-10,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31.0,Morning,Monday,Workday
216,2011-01-10,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77.0,Morning,Monday,Workday
217,2011-01-10,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188.0,Morning,Monday,Workday
218,2011-01-10,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94.0,Morning,Monday,Workday
219,2011-01-10,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31.0,Morning,Monday,Workday
220,2011-01-10,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30.0,Morning,Monday,Workday
221,2011-01-10,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52.0,Day,Monday,Workday
222,2011-01-10,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54.0,Day,Monday,Workday
